mint,owner,amount,delegate_option,delegate,state,is_native_option,is_native,delegated_amount,close_authority_option,close_authority,slot,write_version,updated_on
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',1000000000,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',91,1298,2022-10-31 17:07:08.901775
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',782311876,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1641,2022-10-31 17:07:22.366041
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',564472032,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1650,2022-10-31 17:07:22.372091
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',346722940,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1658,2022-10-31 17:07:22.373116
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',211231248,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1668,2022-10-31 17:07:22.375192
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',193479638,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1677,2022-10-31 17:07:22.376248
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',1,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',119,1686,2022-10-31 17:07:22.378492
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',1,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',129,1811,2022-10-31 17:07:27.142194
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',1,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',129,1821,2022-10-31 17:07:27.148047
"b'\xc0\xdf8\xae2n\x84\xeeB""\xd9\xea\xdf\xfa\xf4\xd0\x815\x9a\x98fn\xeeO\xbb\x9f\xc6I[\xad/\\'",b'\x0b.\x14\x14\x89{\xd1\x80hk\xf5!\x9e\xc0\xcdP\x1b\xaa\xbdk\xac\xe4\xa8|\xa5\x0ffl\xf6\x9d\x9f\xd7',1,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',1,0,0,0,0,b'\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',146,2271,2022-10-31 17:07:35.351418
