m0_mark_price,m0_oracle_price,m0_bid_price,m0_ask_price,m0_wouldbe_peg,m0_wouldbe_peg_cost,m0_predicted_long_funding,m0_predicted_short_funding,m0_last_mid_price_twap,m0_repeg_to_oracle_cost,m0_market_index,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_base_asset_amount,m0_total_base_asset_amount,m0_open_interest,m0_total_exchange_fees,m0_total_mm_fees,m0_margin_ratio_initial,m0_margin_ratio_maintenance,m0_margin_ratio_partial,m0_base_asset_reserve,m0_quote_asset_reserve,m0_funding_period,m0_sqrt_k,m0_peg_multiplier,m0_total_lp_tokens,m0_lp_tokens,m0_cumulative_lp_funding,m0_last_funding_rate,m0_last_funding_rate_ts,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_last_oracle_price,m0_last_oracle_conf,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_mark_price,m0_last_mark_price_twap,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_last_mark_price_twap_ts,m0_net_base_asset_amount,m0_base_spread,m0_mark_std,m0_buy_intensity,m0_sell_intensity,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_fee,m0_total_fee_minus_distributions,m0_strategies,m0_minimum_quote_asset_trade_size,m0_quote_asset_amount_long,m0_quote_asset_amount_short,m0_terminal_quote_asset_reserve,timestamp,arb0_collateral,arb0_free_collateral,arb0_margin_ratio,arb0_total_position_value,arb0_total_fee_paid,arb0_total_fee_rebate,arb0_open_orders,arb0_cumulative_deposits,arb0_total_collateral,LP1_collateral,LP1_free_collateral,LP1_margin_ratio,LP1_total_position_value,LP1_total_fee_paid,LP1_total_fee_rebate,LP1_open_orders,LP1_cumulative_deposits,LP1_total_collateral,arb0_m0_base_asset_amount,arb0_m0_quote_asset_amount,arb0_m0_last_cumulative_funding_rate,arb0_m0_last_funding_rate_ts,arb0_m0_upnl,arb0_m0_upnl_noslip,arb0_m0_ufunding,LP1_m0_lp_tokens,LP1_m0_last_total_fee_minus_distributions,LP1_m0_last_cumulative_lp_funding,LP1_m0_last_net_base_asset_amount,LP1_m0_last_quote_asset_reserve,LP1_m0_base_asset_amount,LP1_m0_quote_asset_amount,LP1_m0_last_cumulative_funding_rate,LP1_m0_last_funding_rate_ts,LP1_m0_upnl,LP1_m0_upnl_noslip,LP1_m0_ufunding
1.598979277399927,1.678892376812691,1.598979277399927,1.598979277399927,5.161,0.0,-6.456725103708768e-08,-6.456725103708768e-08,5.222700899041096,15443118.193279557,0,0.0,-7.96575661173434e+19,-7.96575661173434e+19,0,1,207852.11710452897,0.0,1000,625,500,179657566117343395840,55661446473501130752,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,1.678892376812691,0,5.1619797172887925,5.222416945888243,278,0,5.221607672833926,5.222700899041096,5.222700899041096,278,-7.96575661173434e+19,0,0.0,0,0,0,1.287329779200092,1.287329779200092,207852.11710452897,207852.11710452897,,10000000,0.0615234375,22883127475023.062,100000000000000000000,278,22142915366479.4,17503835135388.688,0.864923201799713,22883127475027.066,207852117104.52896,0.0,0.0,20000000000000.0,19792147882891.395,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-7.96575661173434e+19,20532359991439.062,0.0,0.0,-2350767483588.004,-12737079.750974666,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
1.598979277399927,1.678892376812691,1.598979277399927,1.598979277399927,5.161,0.0,-6.456725103708768e-08,-6.456725103708768e-08,5.222700899041096,15443118.193279557,0,0.0,-7.96575661173434e+19,-7.96575661173434e+19,0,1,207852.11710452897,0.0,1000,625,500,179657566117343395840,55661446473501130752,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,1.678892376812691,0,5.1619797172887925,5.222416945888243,278,0,5.221607672833926,5.222700899041096,5.222700899041096,278,-7.96575661173434e+19,0,0.0,0,0,0,1.287329779200092,1.287329779200092,207852.11710452897,207852.11710452897,,10000000,0.0615234375,22883127475023.062,100000000000000000000,278,22142915366479.4,17503835135388.688,0.864923201799713,22883127475027.066,207852117104.52896,0.0,0.0,20000000000000.0,19792147882891.395,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-7.96575661173434e+19,20532359991439.062,0.0,0.0,-2350767483588.004,-12737079.750974666,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
1.661246847099953,1.678892376812691,1.661246847099953,1.661246847099953,5.161,0.0,-6.633287561745961e-08,-6.633287561745961e-08,5.221607740396696,15069240.627528593,0,0.0,-7.625840861420264e+19,-7.625840861420264e+19,0,1,208406.11713807494,0.0,1000,625,500,176258408614202638336,56734881919240331264,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,1.678892376812691,0,5.1619797172887925,5.221432633507945,279,0,5.220601387168529,5.221607740396696,5.221607740396696,279,-7.625840861420264e+19,0,0.0,0,0,0,1.598979277399927,1.598979277399927,208406.11713807494,208406.11713807494,,10000000,0.0615234375,22329127441477.062,100000000000000000000,279,22464520735250.605,17558681138709.74,0.886357692871186,22329127441481.066,208406117138.07495,0.0,0.0,20000000000000.0,19791593882857.848,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-7.625840861420264e+19,19656200589088.31,0.0,0.0,-2672926852392.758,-12668404.087520404,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
1.661246847099953,1.678892376812691,1.661246847099953,1.661246847099953,5.161,0.0,-6.633287561745961e-08,-6.633287561745961e-08,5.221607740396696,15069240.627528593,0,0.0,-7.625840861420264e+19,-7.625840861420264e+19,0,1,208406.11713807494,0.0,1000,625,500,176258408614202638336,56734881919240331264,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,1.678892376812691,0,5.1619797172887925,5.221432633507945,279,0,5.220601387168529,5.221607740396696,5.221607740396696,279,-7.625840861420264e+19,0,0.0,0,0,0,1.598979277399927,1.598979277399927,208406.11713807494,208406.11713807494,,10000000,0.0615234375,22329127441477.062,100000000000000000000,279,22464520735250.605,17558681138709.74,0.886357692871186,22329127441481.066,208406117138.07495,0.0,0.0,20000000000000.0,19791593882857.848,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-7.625840861420264e+19,19656200589088.31,0.0,0.0,-2672926852392.758,-12668404.087520404,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
1.661246847099953,1.678892376812691,1.661246847099953,1.661246847099953,5.161,0.0,-6.633287561745961e-08,-6.633287561745961e-08,5.221607740396696,15069240.627528593,0,0.0,-7.625840861420264e+19,-7.625840861420264e+19,0,1,208406.11713807494,0.0,1000,625,500,176258408614202638336,56734881919240331264,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,1.678892376812691,0,5.1619797172887925,5.221432633507945,279,0,5.220601387168529,5.221607740396696,5.221607740396696,279,-7.625840861420264e+19,0,0.0,0,0,0,1.598979277399927,1.598979277399927,208406.11713807494,208406.11713807494,,10000000,0.0615234375,22329127441477.062,100000000000000000000,279,22464520735250.605,17558681138709.74,0.886357692871186,22329127441481.066,208406117138.07495,0.0,0.0,20000000000000.0,19791593882857.848,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-7.625840861420264e+19,19656200589088.31,0.0,0.0,-2672926852392.758,-12668404.087520404,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
1.6736879074999973,1.678892376812691,1.6736879074999973,1.6736879074999973,5.161,0.0,-6.67181627648341e-08,-6.67181627648341e-08,5.22060145471253,14995384.585441643,0,0.0,-7.560209397574314e+19,-7.560209397574314e+19,0,1,208515.55470144298,0.0,1000,625,500,175602093975743135744,56946929125921210368,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,1.678892376812691,0,5.1619797172887925,5.220448594547752,280,0,5.219612677574064,5.22060145471253,5.22060145471253,280,-7.560209397574314e+19,0,0.0,0,0,0,1.661246847099953,1.661246847099953,208515.55470144298,208515.55470144298,,10000000,0.0615234375,22219689878109.062,100000000000000000000,280,22524143959839.945,17569515457483.178,0.8907183022743076,22219689878113.062,208515554701.44296,0.0,0.0,20000000000000.0,19791484445294.484,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-7.560209397574314e+19,19487030363567.6,0.0,0.0,-2732659514545.461,-12653431.046887968,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
1.6736879074999973,1.678892376812691,1.6736879074999973,1.6736879074999973,5.161,0.0,-6.67181627648341e-08,-6.67181627648341e-08,5.22060145471253,14995384.585441643,0,0.0,-7.560209397574314e+19,-7.560209397574314e+19,0,1,208515.55470144298,0.0,1000,625,500,175602093975743135744,56946929125921210368,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,1.678892376812691,0,5.1619797172887925,5.220448594547752,280,0,5.219612677574064,5.22060145471253,5.22060145471253,280,-7.560209397574314e+19,0,0.0,0,0,0,1.661246847099953,1.661246847099953,208515.55470144298,208515.55470144298,,10000000,0.0615234375,22219689878109.062,100000000000000000000,280,22524143959839.945,17569515457483.178,0.8907183022743076,22219689878113.062,208515554701.44296,0.0,0.0,20000000000000.0,19791484445294.484,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-7.560209397574314e+19,19487030363567.6,0.0,0.0,-2732659514545.461,-12653431.046887968,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
1.6736879074999973,1.678892376812691,1.6736879074999973,1.6736879074999973,5.161,0.0,-6.67181627648341e-08,-6.67181627648341e-08,5.22060145471253,14995384.585441643,0,0.0,-7.560209397574314e+19,-7.560209397574314e+19,0,1,208515.55470144298,0.0,1000,625,500,175602093975743135744,56946929125921210368,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,1.678892376812691,0,5.1619797172887925,5.220448594547752,280,0,5.219612677574064,5.22060145471253,5.22060145471253,280,-7.560209397574314e+19,0,0.0,0,0,0,1.661246847099953,1.661246847099953,208515.55470144298,208515.55470144298,,10000000,0.0615234375,22219689878109.062,100000000000000000000,280,22524143959839.945,17569515457483.178,0.8907183022743076,22219689878113.062,208515554701.44296,0.0,0.0,20000000000000.0,19791484445294.484,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-7.560209397574314e+19,19487030363567.6,0.0,0.0,-2732659514545.461,-12653431.046887968,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
2.9935692613999767,3.327285307254493,2.9935692613999767,2.9935692613999767,5.161,0.0,-6.682760971713766e-08,-6.682760971713766e-08,5.219612745099305,4372230.57712507,0,0.0,-3.1302282023389463e+19,-3.1302282023389463e+19,0,1,218431.49212124397,0.0,1000,625,500,131302282023389462528,76160138619819687936,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,3.327285307254493,0,5.1619797172887925,5.219464828931715,281,0,5.218627698471266,5.219612745099305,5.219612745099305,281,-3.1302282023389463e+19,0,0.0,0,0,0,1.6736879074999973,1.6736879074999973,218431.49212124397,218431.49212124397,,10000000,0.0615234375,12303752458308.062,100000000000000000000,281,24016913225596.11,18551193262043.48,1.6077671080346576,12303752458312.059,218431492121.24396,0.0,0.0,20000000000000.0,19781568507874.688,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-3.1302282023389463e+19,8068407740590.637,0.0,0.0,-4235344717721.422,-9370554.927689176,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
2.9935692613999767,3.327285307254493,2.9935692613999767,2.9935692613999767,5.161,0.0,-6.682760971713766e-08,-6.682760971713766e-08,5.219612745099305,4372230.57712507,0,0.0,-3.1302282023389463e+19,-3.1302282023389463e+19,0,1,218431.49212124397,0.0,1000,625,500,131302282023389462528,76160138619819687936,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,3.327285307254493,0,5.1619797172887925,5.219464828931715,281,0,5.218627698471266,5.219612745099305,5.219612745099305,281,-3.1302282023389463e+19,0,0.0,0,0,0,1.6736879074999973,1.6736879074999973,218431.49212124397,218431.49212124397,,10000000,0.0615234375,12303752458308.062,100000000000000000000,281,24016913225596.11,18551193262043.48,1.6077671080346576,12303752458312.059,218431492121.24396,0.0,0.0,20000000000000.0,19781568507874.688,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-3.1302282023389463e+19,8068407740590.637,0.0,0.0,-4235344717721.422,-9370554.927689176,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
2.9935692613999767,3.327285307254493,2.9935692613999767,2.9935692613999767,5.161,0.0,-6.682760971713766e-08,-6.682760971713766e-08,5.219612745099305,4372230.57712507,0,0.0,-3.1302282023389463e+19,-3.1302282023389463e+19,0,1,218431.49212124397,0.0,1000,625,500,131302282023389462528,76160138619819687936,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,3.327285307254493,0,5.1619797172887925,5.219464828931715,281,0,5.218627698471266,5.219612745099305,5.219612745099305,281,-3.1302282023389463e+19,0,0.0,0,0,0,1.6736879074999973,1.6736879074999973,218431.49212124397,218431.49212124397,,10000000,0.0615234375,12303752458308.062,100000000000000000000,281,24016913225596.11,18551193262043.48,1.6077671080346576,12303752458312.059,218431492121.24396,0.0,0.0,20000000000000.0,19781568507874.688,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-3.1302282023389463e+19,8068407740590.637,0.0,0.0,-4235344717721.422,-9370554.927689176,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
3.2572815558998656,3.327285307254493,3.2572815558998656,3.2572815558998656,5.161,0.0,-7.421661647636891e-08,-7.421661647636891e-08,5.218627765977749,3769983.222446024,0,0.0,-2.5874940846011367e+19,-2.5874940846011367e+19,0,1,220126.25689632495,0.0,1000,625,500,125874940846011367424,79443930084809031680,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,3.327285307254493,0,5.1619797172887925,5.218939223509026,282,0,5.218009626683191,5.218627765977749,5.218627765977749,282,-2.5874940846011367e+19,0,0.0,0,0,0,2.9935692613999767,2.9935692613999767,220126.25689632495,220126.25689632495,,10000000,0.0615234375,10608987683227.062,100000000000000000000,282,23719393275309.35,18718974974776.5,1.8644449719141793,10608987683231.059,220126256896.32495,0.0,0.0,20000000000000.0,19779873743099.605,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-2.5874940846011367e+19,6669468151021.312,0.0,0.0,-3939519532209.747,-8428196.757771289,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
3.2572815558998656,3.327285307254493,3.2572815558998656,3.2572815558998656,5.161,0.0,-7.421661647636891e-08,-7.421661647636891e-08,5.218627765977749,3769983.222446024,0,0.0,-2.5874940846011367e+19,-2.5874940846011367e+19,0,1,220126.25689632495,0.0,1000,625,500,125874940846011367424,79443930084809031680,3600,100000000000000000000,5161,100000000000000000000,0,0,0,0,0,0,3.327285307254493,0,5.1619797172887925,5.218939223509026,282,0,5.218009626683191,5.218627765977749,5.218627765977749,282,-2.5874940846011367e+19,0,0.0,0,0,0,2.9935692613999767,2.9935692613999767,220126.25689632495,220126.25689632495,,10000000,0.0615234375,10608987683227.062,100000000000000000000,282,23719393275309.35,18718974974776.5,1.8644449719141793,10608987683231.059,220126256896.32495,0.0,0.0,20000000000000.0,19779873743099.605,103219999999999.98,103219999999999.98,,0.0,0.0,0.0,0.0,103219999999999.98,103219999999999.98,-2.5874940846011367e+19,6669468151021.312,0.0,0.0,-3939519532209.747,-8428196.757771289,-0.0,100000000000000000000,5200227563.199,0.0,9.153681979911029e+18,1.1007600767913001e+20,,,,,,,
