m0_mark_price,m0_oracle_price,m0_bid_price,m0_ask_price,m0_wouldbe_peg,m0_wouldbe_peg_cost,m0_predicted_long_funding,m0_predicted_short_funding,m0_last_mid_price_twap,m0_repeg_to_oracle_cost,m0_market_index,m0_base_asset_amount_long,m0_base_asset_amount_short,m0_base_asset_amount,m0_total_base_asset_amount,m0_open_interest,m0_total_exchange_fees,m0_total_mm_fees,m0_margin_ratio_initial,m0_margin_ratio_maintenance,m0_margin_ratio_partial,m0_base_asset_reserve,m0_quote_asset_reserve,m0_funding_period,m0_sqrt_k,m0_peg_multiplier,m0_last_funding_rate,m0_last_funding_rate_ts,m0_cumulative_funding_rate_long,m0_cumulative_funding_rate_short,m0_last_oracle_price,m0_last_oracle_conf,m0_last_oracle_normalised_price,m0_last_oracle_price_twap,m0_last_oracle_price_twap_ts,m0_last_mark_price_twap,m0_last_bid_price_twap,m0_last_ask_price_twap,m0_last_mark_price_twap_ts,m0_net_base_asset_amount,m0_base_spread,m0_mark_std,m0_buy_intensity,m0_sell_intensity,m0_last_spread,m0_bid_price_before,m0_ask_price_before,m0_total_fee,m0_total_fee_minus_distributions,m0_strategies,m0_minimum_quote_asset_trade_size,timestamp,u0_collateral,u0_free_collateral,u0_margin_ratio,u0_total_position_value,u0_total_fee_paid,u0_total_fee_rebate,u0_open_orders,u0_cumulative_deposits,u0_total_collateral,u0_m0_base_asset_amount,u0_m0_quote_asset_amount,u0_m0_last_cumulative_funding_rate,u0_m0_last_funding_rate_ts,u0_m0_upnl,u0_m0_ufunding
170.38374085936113,170.384183,170.29855963791525,170.4689433787746,170.383,-0.0,-2.2420870898415756e-09,-2.2420870898415756e-09,169.98761576449397,0.0007988449544192,0,7988432167936.0,0,7988432167936.0,0,1,0.136,0.06812287423948594,1000,625,500,3676208212819586560,3676224197708149248,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.9886638861996,137,169.98774917566666,169.98443493318632,169.99079659580158,137,7988432167936.0,1000.0,0.0007398919988190755,0,0,1000.0,170.29855420024694,170.46893793566582,0.20412287423948594,0.026400253189527545,PrePeg_OracleRetreat,10000000,137,9999999864000.0,9999986362639.883,73470.20330115348,136109599.86880654,136000.0,68122.87423948594,0.0,10000000000000.0,9999999973599.87,7988432167936.0,136000000.0,0.0,0.0,109599.86880654097,0.0
170.38374629974942,170.384183,170.2985650755837,170.46894882188346,170.383,-0.0,-2.241763880661395e-09,-2.241763880661395e-09,169.98772580068936,0.0008047111511552001,0,8047093878784.0,0,8047093878784.0,0,1,0.137,0.06862268449320749,1000,625,500,3676208154128541696,3676224256399450624,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.98877375262006,138,169.98785917335658,169.98452218853828,169.99092941284044,138,8047093878784.0,1000.0,0.00074533238711183,0,0,1000.0,170.29855963791525,170.4689433787746,0.2056226844932075,0.027900063443249093,PrePeg_OracleRetreat,10000000,138,9999999863000.0,9999986261190.06,72934.61898001871,137109100.06727645,137000.0,68622.68449320749,0.0,10000000000000.0,9999999972100.066,8047093878784.0,137000000.0,0.0,0.0,109100.06727644801,0.0
170.38375174013785,170.384183,170.29857051325223,170.4689542649924,170.383,-0.0,-2.241437057562012e-09,-2.241437057562012e-09,169.98783580783038,0.0008105773477888,0,8105755587584.0,0,8105755587584.0,0,1,0.138,0.06912250347053865,1000,625,500,3676208095437497856,3676224315090752000,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.98888358852213,139,169.9879691420028,169.9846094211631,169.99106219449766,139,8105755587584.0,1000.0,0.0007507727755466931,0,0,1000.0,170.2985650755837,170.46894882188346,0.20712250347053865,0.029399882420580253,PrePeg_OracleRetreat,10000000,139,9999999862000.0,9999986159740.223,72406.78677954672,138108600.24829912,138000.0,69122.50347053865,0.0,10000000000000.0,9999999970600.248,8105755587584.0,138000000.0,0.0,0.0,108600.24829912186,0.0
170.38375718052632,170.384183,170.29857595092088,170.4689597081014,170.383,-0.0,-2.2411066214557963e-09,-2.2411066214557963e-09,169.9879457859251,0.0008164435444736,0,8164417294336.0,0,8164417294336.0,0,1,0.139,0.06962232244786981,1000,625,500,3676208036746456576,3676224373782053376,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.9889933939142,140,169.9880790816134,169.9846966310671,169.99119494078306,140,8164417294336.0,1000.0,0.0007562131640099778,0,0,1000.0,170.29857051325223,170.4689542649924,0.20862232244786982,0.030899701397911414,PrePeg_OracleRetreat,10000000,140,9999999861000.0,9999986058290.395,71886.53958763632,139108100.43804538,139000.0,69622.32244786981,0.0,10000000000000.0,9999999969100.438,8164417294336.0,139000000.0,0.0,0.0,108100.4380453825,0.0
170.38376262091487,170.384183,170.29858138858955,170.46896515121048,170.383,-0.0,-2.240772573255113e-09,-2.240772573255113e-09,169.98805573498151,0.0008223097411584,0,8223078999552.0,0,8223078999552.0,0,1,0.14,0.07012213270159136,1000,625,500,3676207978055416832,3676224432473354752,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.98910316880475,141,169.98818899219643,169.9847838182566,169.99132765170646,141,8223078999552.0,1000.0,0.0007616535525585277,0,0,1000.0,170.29857595092088,170.4689597081014,0.21012213270159136,0.032399511651632955,PrePeg_OracleRetreat,10000000,141,9999999860000.0,9999985956840.564,71373.71507893079,140107600.62779167,140000.0,70122.13270159136,0.0,10000000000000.0,9999999967600.627,8223078999552.0,140000000.0,0.0,0.0,107600.62779167295,0.0
170.38376806130353,170.384183,170.29858682625843,170.46897059431967,170.383,-0.0,-2.2404349140813146e-09,-2.2404349140813146e-09,169.98816565500778,0.0008281759378432,0,8281740702720.0,0,8281740702720.0,0,1,0.141,0.07062195167892252,1000,625,500,3676207919364379136,3676224491164656128,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.9892129132023,142,169.98829887376,169.9848709827379,169.99146032727768,142,8281740702720.0,1000.0,0.0007670939412207645,0,0,1000.0,170.29858138858955,170.46896515121048,0.2116219516789225,0.033899330628964115,PrePeg_OracleRetreat,10000000,142,9999999859000.0,9999985855390.736,70868.15552274416,141107100.81753793,141000.0,70621.95167892252,0.0,10000000000000.0,9999999966100.818,8281740702720.0,141000000.0,0.0,0.0,107100.81753793359,0.0
170.38377350169225,170.384183,170.29859226392728,170.46897603742894,170.383,-0.0,-2.2400936449860826e-09,-2.2400936449860826e-09,169.98827554601192,0.000834042134528,0,8340402403840.0,0,8340402403840.0,0,1,0.142,0.07112176193264406,1000,625,500,3676207860673343488,3676224549855957504,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.98932262711529,143,169.9884087263121,169.98495812451728,169.99159296750656,143,8340402403840.0,1000.0,0.0007725343299398446,0,0,1000.0,170.29858682625843,170.46897059431967,0.21312176193264407,0.03539914088268566,PrePeg_OracleRetreat,10000000,143,9999999858000.0,9999985753940.906,70369.70762595623,142106601.00728422,142000.0,71121.76193264406,0.0,10000000000000.0,9999999964601.008,8340402403840.0,142000000.0,0.0,0.0,106601.00728422403,0.0
170.38377894208105,170.384183,170.29859770159624,170.4689814805383,170.383,-0.0,-2.239748766951428e-09,-2.239748766951428e-09,169.988385408002,0.0008399083312128,0,8399064103424.0,0,8399064103424.0,0,1,0.143,0.07162157218636561,1000,625,500,3676207801982309376,3676224608547258880,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.9894323105522,144,169.9885185498608,169.9850452436011,169.9917255724029,144,8399064103424.0,1000.0,0.0007779747187441899,0,0,1000.0,170.29859226392728,170.46897603742894,0.2146215721863656,0.03689895113640721,PrePeg_OracleRetreat,10000000,144,9999999857000.0,9999985652491.078,69878.22237804561,143106101.1970305,143000.0,71621.5721863656,0.0,10000000000000.0,9999999963101.197,8399064103424.0,143000000.0,0.0,0.0,106101.19703051448,0.0
170.38378438247,170.384183,170.29860313926528,170.46898692364775,170.383,-0.0,-2.239400281029019e-09,-2.239400281029019e-09,169.98849524098608,0.0008457745278976001,0,8457725800960.0,0,8457725800960.0,0,1,0.144,0.07212138244008716,1000,625,500,3676207743291277312,3676224667238560256,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.98954196352148,145,169.98862834441417,169.98513233999563,169.99185814197654,145,8457725800960.0,1000.0,0.0007834151076906437,0,0,1000.0,170.29859770159624,170.4689814805383,0.21612138244008716,0.03839876139012875,PrePeg_OracleRetreat,10000000,145,9999999856000.0,9999985551041.248,69393.55490257156,144105601.38677678,144000.0,72121.38244008715,0.0,10000000000000.0,9999999961601.387,8457725800960.0,144000000.0,0.0,0.0,105601.38677677512,0.0
170.383789822859,170.384183,170.29860857693444,170.4689923667573,170.383,-0.0,-2.2390481881311873e-09,-2.2390481881311873e-09,169.98860504497225,0.0008516407245312,0,8516387496448.0,0,8516387496448.0,0,1,0.145,0.07262120141741832,1000,625,500,3676207684600246784,3676224725929861632,3600,3676216205255179776,170383,0,0,0,0,170.384183,0,169.981609,169.9896515860316,146,169.9887381099803,169.9852194137072,169.99199067623726,146,8516387496448.0,1000.0,0.000788855496693941,0,0,1000.0,170.29860313926528,170.46898692364775,0.2176212014174183,0.03989858036745991,PrePeg_OracleRetreat,10000000,146,9999999855000.0,9999985449591.412,68915.564318937,145105101.56779945,145000.0,72621.20141741831,0.0,10000000000000.0,9999999960101.568,8516387496448.0,145000000.0,0.0,0.0,105101.56779944897,0.0
