net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mark_price_twap_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,base_spread,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value,oracle_price,mark_price
830724258950.8965,1385286075520.4785,1,14221.350373188734,1000,625,500,9723543712083.783,10284316393387.172,3600,10000000000000,10539,-0.5755415658755444,10,10.539585682085152,10,10.53820438232705,10,-3.103334276974845,-3.103334276974845,0,830724258950.8965,853107.2052089891,-2.5277927110993006,0,999432001.793949,9.313225746154785e-10,999432001.793949,4.781163408074003e-06,999346691.0734282,1171.5198227040094,853107.20520899,11.146801380162891,11.146801380160596
830724258950.8965,1385286075520.4785,1,14221.350373188734,1000,625,500,9723543712083.783,10284316393387.172,3600,10000000000000,10539,-0.5752218649705357,11,10.539922977286578,11,10.538542444810648,11,-3.6785561419453807,-3.6785561419453807,0,830724258950.8965,853107.2052089891,-3.103334276974845,0,999432001.793949,9.313225746154785e-10,999432001.793949,4.7785075751000085e-06,999346691.0734282,1171.5198227040094,853107.20520899,11.146801380162891,11.146801380160596
830724258950.8965,1385286075520.4785,1,14221.350373188734,1000,625,500,9723543712083.783,10284316393387.172,3600,10000000000000,10539,-0.5749023416516211,12,10.540260085127805,12,10.538880319507841,12,-4.253458483597002,-4.253458483597002,0,830724258950.8965,853107.2052089891,-3.6785561419453807,0,999432001.793949,9.313225746154785e-10,999432001.793949,4.77585321737678e-06,999346691.0734282,1171.5198227040094,853107.20520899,11.146801380162891,11.146801380160596
830724258950.8965,1385286075520.4785,1,14221.350373188734,1000,625,500,9723543712083.783,10284316393387.172,3600,10000000000000,10539,-0.574582995821841,13,10.54059700571291,13,10.539218006522937,13,-4.828041479418843,-4.828041479418843,0,830724258950.8965,853107.2052089891,-4.253458483597002,0,999432001.793949,9.313225746154785e-10,999432001.793949,4.773200334098852e-06,999346691.0734282,1171.5198227040094,853107.20520899,11.146801380162891,11.146801380160596
830724258950.8965,1385286075520.4785,1,14221.350373188734,1000,625,500,9723543712083.783,10284316393387.172,3600,10000000000000,10539,-0.5742638273812753,14,10.540933739145908,14,10.539555505960193,14,-5.402305306800119,-5.402305306800119,0,830724258950.8965,853107.2052089891,-4.828041479418843,0,999432001.793949,9.313225746154785e-10,999432001.793949,4.770548924436158e-06,999346691.0734282,1171.5198227040094,853107.20520899,11.146801380162891,11.146801380160596
830724258950.8965,1385286075520.4785,1,21934.12106374385,1000,625,500,10468480153393.145,9552485034571.809,3600,10000000000000,10539,-0.3969145103469944,15,10.5404204219135,15,10.539467827088668,15,-5.799219817147113,-5.799219817147113,0,85787817641.53516,88099.27549434244,-5.402305306800119,0,999430558.1625993,-6269.139340863796,999424289.0232584,3.4050429632927197e-07,999416106.0096431,12213.401272469622,81830.13615347864,9.61683437367952,9.616834373681359
830724258950.8965,1385286075520.4785,1,21934.12106374385,1000,625,500,10468480153393.145,9552485034571.809,3600,10000000000000,10539,-0.3966940329121667,16,10.539907389817726,16,10.538955324138737,16,-6.19591385005928,-6.19591385005928,0,85787817641.53516,88099.27549434244,-5.799219817147113,0,999430558.1625993,-6269.139340863796,999424289.0232584,3.403151535495408e-07,999416106.0096431,12213.401272469622,81830.13615347864,9.61683437367952,9.616834373681359
830724258950.8965,1385286075520.4785,1,21934.12106374385,1000,625,500,10468480153393.145,9552485034571.809,3600,10000000000000,10539,-0.39647367794752125,17,10.539394642700197,17,10.538443105873123,17,-6.592387528006801,-6.592387528006801,0,85787817641.53516,88099.27549434244,-6.19591385005928,0,999430558.1625993,-6269.139340863796,999424289.0232584,3.4012611583430713e-07,999416106.0096431,12213.401272469622,81830.13615347864,9.61683437367952,9.616834373681359
830724258950.8965,1385286075520.4785,1,21934.12106374385,1000,625,500,10468480153393.145,9552485034571.809,3600,10000000000000,10539,-0.3962534453842241,18,10.538882180402611,18,10.537931172133689,18,-6.988640973391026,-6.988640973391026,0,85787817641.53516,88099.27549434244,-6.592387528006801,0,999430558.1625993,-6269.139340863796,999424289.0232584,3.399371831245185e-07,999416106.0096431,12213.401272469622,81830.13615347864,9.61683437367952,9.616834373681359
830724258950.8965,1385286075520.4785,1,21934.12106374385,1000,625,500,10468480153393.145,9552485034571.809,3600,10000000000000,10539,-0.3960333351556618,19,10.538370002766763,19,10.53741952276239,19,-7.384674308546687,-7.384674308546687,0,85787817641.53516,88099.27549434244,-6.988640973391026,0,999430558.1625993,-6269.139340863796,999424289.0232584,3.3974835536302866e-07,999416106.0096431,12213.401272469622,81830.13615347864,9.61683437367952,9.616834373681359
