net_base_asset_amount,total_base_asset_amount,open_interest,total_fees,margin_ratio_initial,margin_ratio_maintenance,margin_ratio_partial,base_asset_reserve,quote_asset_reserve,funding_period,sqrt_k,peg_multiplier,last_funding_rate,last_funding_rate_ts,last_oracle_price_twap,last_oracle_price_twap_ts,last_mark_price_twap,last_mark_price_twap_ts,cumulative_funding_rate_long,cumulative_funding_rate_short,base_spread,user0.base_asset_amount,user0.quote_asset_amount,user0.last_cumulative_funding_rate,user0.market_index,user0.collateral,user0.position0.upnl,user0.total_collateral,user0.position0.ufunding,user0.free_collateral,user0.margin_ratio,user0.total_position_value,oracle_price,mark_price,bid_price,ask_price
-8358889583773.082,8401100466058.426,2,57106.00410340266,1000,625,500,17037396666911.777,5869441321056.367,3600,10000000000000.0,10539,4.158457280899104,111,10.335955003807632,111,10.34593530128179,111,179.95738135697658,179.95738135697658,100000.0,-7508059570263.965,4305335.896256113,175.79892407607747,0,999987957.1857536,-568391.9972917121,999419565.1884619,0.0003122194498538846,998932192.3991071,205.06265163296496,4873727.8935478255,3.4514544729340395,3.630721482393327,3.4514546092001566,3.814526757439489
-8358889928720.654,8401100811005.998,2,57106.005293973525,1000,625,500,17037396994827.562,5869441208088.262,3600,10000000000000.0,10539,4.1976385610046725,112,10.33213081250194,112,10.342205145048352,112,184.15501991798126,184.15501991798126,100000.0,-7508059915211.537,4305336.0153132,179.95738135697658,0,999987957.184563,-568392.0170584153,999419565.1675047,0.0003151612181842548,998932192.3642675,205.06264578763847,4873728.032371615,3.4514544729340395,3.6307213426336116,3.4514544763410773,3.814526610604439
-8358889937344.344,8401100819629.6875,2,57106.005323737794,1000,625,500,17037397003025.455,5869441205264.06,3600,10000000000000.0,10539,4.2367980601828075,113,10.328308745451896,113,10.338477060796334,113,188.39181797816408,188.39181797816408,100000.0,-7508059923835.227,4305336.018289627,184.15501991798126,0,999987957.1845332,-568392.0175525853,999419565.1669806,0.00031810133721041464,998932192.3633964,205.06264564150518,4873728.035842212,3.4514544729340395,3.63072133913962,3.4514544730196013,3.814526606933563
-8744110566473.404,8786321448758.748,2,58406.898543046045,1000,625,500,17403395652211.695,5746005089948.73,3600,10000000000000.0,10539,4.292536283994064,114,10.324406986845005,114,10.334709073926591,114,192.68435426215814,192.68435426215814,100000.0,-7893280552964.287,4435425.340220452,188.39181797816408,0,999986656.2913139,-590745.6992048975,999395910.592109,0.00033882193173343845,998893293.4881665,198.83842049003798,5026171.03942535,3.304167677904944,3.4796167858928047,3.3078107070893474,3.655772385678629
-8753947965667.861,8796158847953.205,2,58439.42087352875,1000,625,500,17412747200973.875,5742919187065.848,3600,10000000000000.0,10539,4.330326990212481,115,10.320507395580725,115,10.330900180357235,115,197.01468125237062,197.01468125237062,100000.0,-7903117952158.744,4438677.573268723,192.68435426215814,0,999986623.7689834,-591311.8767478345,999395311.8922355,0.00034223084975065825,998892312.9472339,198.6873574633334,5029989.450016557,3.304167677904944,3.4758803199705266,3.3042587291719814,3.6518467611690353
-8754194032798.541,8796404915083.885,2,58440.23393179082,1000,625,500,17412981118459.404,5742842039493.775,3600,10000000000000.0,10539,4.367653554748034,116,10.31660997045514,116,10.327092338986535,116,201.38233480711867,201.38233480711867,100000.0,-7903364019289.424,4438758.879094929,197.01468125237062,0,999986622.9559251,-591326.0358717414,999395296.9200534,0.0003451915595331725,998892288.4285567,198.68358364019295,5030084.914966671,3.304167677904944,3.475786934039912,3.3041699541716913,3.6517486475756833
-8754200184559.447,8796411066844.791,2,58440.25425824737,1000,625,500,17412986966477.064,5742840110804.474,3600,10000000000000.0,10539,4.404948309415513,117,10.312714710265011,117,10.323286586207608,117,205.78728311653418,205.78728311653418,100000.0,-7903370171050.33,4438760.911740584,201.38233480711867,0,999986622.9355986,-591326.3898527697,999395296.5457458,0.0003481393707365317,998892287.8155866,198.68348929633342,5030087.301593354,3.304167677904944,3.475784599407721,3.304167734811964,3.651746194752737
-8754200338353.521,8796411220638.865,2,58440.25476640878,1000,625,500,17412987112677.557,5742840062587.241,3600,10000000000000.0,10539,4.442222070761097,118,10.30882161380776,118,10.319482946777587,118,210.22950518729527,210.22950518729527,100000.0,-7903370324844.404,4438760.962556725,205.78728311653418,0,999986622.9350904,-591326.3987022983,999395296.5363882,0.00035108526090422065,998892287.8002622,198.683486937738,5030087.361259024,3.304167677904944,3.475784541041926,3.3041676793279815,3.6517461334321735
-8754200342198.377,8796411224483.72,2,58440.25477911283,1000,625,500,17412987116332.572,5742840061381.81,3600,10000000000000.0,10539,4.479475120415059,119,10.30493067988148,119,10.315681420170476,119,214.70898030771033,214.70898030771033,100000.0,-7903370328689.26,4438760.963827129,210.22950518729527,0,999986622.9350777,-591326.3989235377,999395296.5361542,0.00035402950754790134,998892287.7998791,198.683486878773,5030087.362750667,3.304167677904944,3.4757845395827798,3.3041676779408804,3.6517461318991575
-9325149386637.63,9367360268922.975,2,60268.32464108823,1000,625,500,17955312112371.137,5569382440926.795,3600,10000000000000.0,10539,4.539420559080594,120,10.300929952739764,120,10.311824562081558,120,219.24840086679092,219.24840086679092,100000.0,-8474319373128.514,4621567.950024669,214.70898030771033,0,999984794.8652157,-624785.4509125166,999360009.4143032,0.00038468499586594444,998835374.0742095,190.48659765005192,5246353.400937186,3.10262150407542,3.2689892092984767,3.1075828670893646,3.434481788019213
-9339867665909.127,9382078548194.47,2,60314.02638763761,1000,625,500,17969303397049.223,5565046000415.42,3600,10000000000000.0,10539,4.574815741548536,121,10.296931447915542,121,10.307911005695258,121,223.82321660833946,223.82321660833946,100000.0,-8489037652400.01,4626138.124679607,219.24840086679092,0,999984749.1634691,-625637.8760733949,999359111.2873957,0.000388357830827979,998833933.6873205,190.2897441063951,5251776.000753002,3.10262150407542,3.2639005810324933,3.1027454898440134,3.4291355479472627
-9340235909613.354,9382446791898.697,2,60315.16893130134,1000,625,500,17969653458545.69,5564937589402.636,3600,10000000000000.0,10539,4.609587746591999,122,10.29293516417436,122,10.30399817476618,122,228.43280435493148,228.43280435493148,100000.0,-8489405896104.236,4626252.379045981,223.82321660833946,0,999984748.0209254,-625659.1969879959,999359088.8239374,0.0003913266139452807,998833897.666334,190.28482760149808,5251911.576033977,3.10262150407542,3.263773416110213,3.102624603689772,3.4290019453007923
-9340245115885.307,9382455998170.65,2,60315.19749489294,1000,625,500,17969662210257.86,5564934879127.315,3600,10000000000000.0,10539,4.644325354512535,123,10.28894110028246,123,10.30008748113329,123,233.07712970944402,233.07712970944402,100000.0,-8489415102376.189,4626255.2354051415,228.43280435493148,0,999984747.9923618,-625659.7300172923,999359088.2623445,0.0003942760580494745,998833896.7658023,190.2847046918936,5251914.965422434,3.10262150407542,3.2637702370188952,3.1026215815660874,3.428998605267977
-9340245346042.217,9382456228327.56,2,60315.19820898273,1000,625,500,17969662429050.77,5564934811370.433,3600,10000000000000.0,10539,4.679043289395797,124,10.284949255006758,124,10.296178958901308,124,237.75617299883982,237.75617299883982,100000.0,-8489415332533.1,4626255.30681412,233.07712970944402,0,999984747.9916477,-625659.7433430301,999359088.2483047,0.0003972234184258275,998833896.743289,190.28470161915536,5251915.05015715,3.10262150407542,3.2637701575416327,3.1026215060130142,3.4289985217671775
